filename,width,height,class,xmin,ymin,xmax,ymax
06 EDF EST-01.jpg,1600,1280,column,140.0,374.0,167.0,389.0
06 EDF EST-01.jpg,1600,1280,column,350.0,374.0,377.0,389.0
06 EDF EST-01.jpg,1600,1280,column,636.0,374.0,663.0,389.0
06 EDF EST-01.jpg,1600,1280,column,140.0,709.0,167.0,724.0
06 EDF EST-01.jpg,1600,1280,column,350.0,708.0,377.0,723.0
06 EDF EST-01.jpg,1600,1280,column,636.0,608.0,662.0,623.0
06 EDF EST-01.jpg,1600,1280,column,636.0,894.0,663.0,909.0
06 EDF EST-01.jpg,1600,1280,column,350.0,894.0,377.0,909.0
06 EDF EST-01.jpg,1600,1280,column,140.0,894.0,167.0,909.0
06 EDF EST-01.jpg,1600,1280,column,989.0,374.0,1015.0,389.0
06 EDF EST-01.jpg,1600,1280,column,988.0,584.0,1015.0,599.0
06 EDF EST-01.jpg,1600,1280,column,988.0,894.0,1015.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1148.0,894.0,1174.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1147.0,714.0,1174.0,729.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,714.0,1382.0,729.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,894.0,1382.0,909.0
06 EDF EST-01.jpg,1600,1280,column,1355.0,374.0,1382.0,389.0
06 EDF EST-01.jpg,1600,1280,column,1147.0,374.0,1174.0,389.0
06 EDF EST-01.jpg,1600,1280,column,542.0,497.0,558.0,524.0
06 EDF EST-01.jpg,1600,1280,column,651.0,497.0,666.0,524.0
06 EDF EST-01.jpg,1600,1280,beam,167.0,386.0,349.0,374.0
06 EDF EST-01.jpg,1600,1280,beam,168.0,723.0,349.0,710.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,723.0,651.0,711.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,386.0,635.0,373.0
06 EDF EST-01.jpg,1600,1280,beam,542.0,387.0,554.0,496.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,390.0,663.0,496.0
06 EDF EST-01.jpg,1600,1280,beam,559.0,500.0,649.0,512.0
06 EDF EST-01.jpg,1600,1280,beam,542.0,525.0,570.0,709.0
06 EDF EST-01.jpg,1600,1280,beam,140.0,390.0,152.0,708.0
06 EDF EST-01.jpg,1600,1280,beam,140.0,725.0,152.0,893.0
06 EDF EST-01.jpg,1600,1280,beam,167.0,909.0,349.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,377.0,909.0,635.0,897.0
06 EDF EST-01.jpg,1600,1280,beam,651.0,624.0,663.0,893.0
